inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.98,0.02
2.0,1.0,0.0,0.88,0.12
3.0,0.0,0.0,0.98,0.02
4.0,0.0,0.0,0.66,0.34
5.0,1.0,1.0,0.0,1.0
6.0,1.0,1.0,0.12,0.88
7.0,1.0,1.0,0.17,0.83
8.0,0.0,0.0,1.0,0.0
9.0,0.0,1.0,0.46,0.54
10.0,1.0,0.0,1.0,0.0
11.0,0.0,0.0,0.95,0.05
12.0,1.0,1.0,0.01,0.99
13.0,0.0,0.0,0.75,0.25
14.0,1.0,1.0,0.02,0.98
15.0,0.0,0.0,0.96,0.04
16.0,1.0,1.0,0.04,0.96
17.0,1.0,1.0,0.03,0.97
18.0,0.0,0.0,1.0,0.0
19.0,1.0,1.0,0.05,0.95
20.0,0.0,0.0,0.95,0.05
21.0,0.0,1.0,0.09,0.91
22.0,0.0,0.0,0.88,0.12
23.0,0.0,0.0,0.82,0.18
24.0,0.0,0.0,1.0,0.0
25.0,0.0,0.0,1.0,0.0
26.0,0.0,0.0,0.96,0.04
27.0,1.0,1.0,0.29,0.71
28.0,0.0,0.0,0.97,0.03
29.0,0.0,0.0,1.0,0.0
30.0,1.0,1.0,0.16,0.84
31.0,1.0,1.0,0.0,1.0
32.0,1.0,1.0,0.02,0.98
33.0,1.0,0.0,0.52,0.48
34.0,1.0,1.0,0.01,0.99
35.0,0.0,0.0,0.99,0.01
36.0,1.0,1.0,0.41,0.59
37.0,0.0,0.0,0.95,0.05
38.0,0.0,0.0,1.0,0.0
39.0,0.0,0.0,0.75,0.25
40.0,1.0,1.0,0.09,0.91
41.0,1.0,0.0,0.53,0.47
42.0,1.0,1.0,0.04,0.96
43.0,0.0,0.0,0.97,0.03
44.0,1.0,1.0,0.01,0.99
45.0,0.0,0.0,0.99,0.01
46.0,0.0,0.0,0.99,0.01
47.0,0.0,0.0,1.0,0.0
48.0,0.0,0.0,0.96,0.04
49.0,0.0,0.0,1.0,0.0
50.0,0.0,1.0,0.45,0.55
51.0,0.0,0.0,1.0,0.0
52.0,1.0,1.0,0.47,0.53
53.0,1.0,1.0,0.01,0.99
54.0,0.0,0.0,0.81,0.19
55.0,0.0,1.0,0.3,0.7
56.0,1.0,1.0,0.38,0.62
57.0,1.0,1.0,0.0,1.0
58.0,1.0,1.0,0.02,0.98
59.0,0.0,0.0,0.99,0.01
60.0,0.0,0.0,0.97,0.03
61.0,0.0,1.0,0.37,0.63
62.0,0.0,0.0,1.0,0.0
63.0,0.0,0.0,1.0,0.0
64.0,0.0,0.0,0.88,0.12
65.0,1.0,1.0,0.0,1.0
66.0,0.0,0.0,1.0,0.0
67.0,0.0,0.0,0.97,0.03
68.0,1.0,1.0,0.05,0.95
69.0,0.0,0.0,0.75,0.25
70.0,1.0,0.0,0.61,0.39
71.0,0.0,0.0,1.0,0.0
72.0,1.0,1.0,0.22,0.78
73.0,1.0,1.0,0.0,1.0
74.0,1.0,1.0,0.04,0.96
75.0,0.0,0.0,1.0,0.0
76.0,0.0,0.0,1.0,0.0
77.0,1.0,1.0,0.0,1.0
78.0,1.0,1.0,0.0,1.0
79.0,0.0,0.0,0.94,0.06
80.0,0.0,0.0,0.87,0.13
81.0,0.0,0.0,0.94,0.06
82.0,1.0,1.0,0.01,0.99
83.0,1.0,1.0,0.28,0.72
84.0,0.0,0.0,1.0,0.0
85.0,0.0,0.0,0.98,0.02
86.0,0.0,0.0,0.58,0.42
87.0,1.0,1.0,0.02,0.98
88.0,0.0,0.0,1.0,0.0
89.0,0.0,1.0,0.04,0.96
90.0,1.0,1.0,0.0,1.0
91.0,0.0,0.0,1.0,0.0
92.0,0.0,0.0,1.0,0.0
93.0,1.0,1.0,0.02,0.98
94.0,1.0,1.0,0.0,1.0
95.0,1.0,0.0,0.59,0.41
96.0,1.0,1.0,0.01,0.99
97.0,1.0,1.0,0.1,0.9
98.0,0.0,0.0,0.9,0.1
99.0,0.0,1.0,0.05,0.95
100.0,1.0,1.0,0.0,1.0
101.0,1.0,1.0,0.02,0.98
102.0,0.0,0.0,0.91,0.09
103.0,1.0,1.0,0.0,1.0
104.0,1.0,1.0,0.07,0.93
105.0,0.0,1.0,0.43,0.57
106.0,1.0,1.0,0.01,0.99
107.0,0.0,0.0,0.74,0.26
108.0,0.0,0.0,1.0,0.0
109.0,0.0,0.0,1.0,0.0
110.0,0.0,0.0,1.0,0.0
111.0,1.0,1.0,0.0,1.0
112.0,0.0,0.0,1.0,0.0
113.0,0.0,0.0,0.97,0.03
114.0,1.0,1.0,0.26,0.74
