inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.500186829661,0.499813170339
2.0,0.0,0.0,0.500329746537,0.499670253463
3.0,1.0,1.0,0.499937885263,0.500062114737
4.0,0.0,0.0,0.500291106634,0.499708893366
5.0,1.0,1.0,0.499989392303,0.500010607697
6.0,1.0,0.0,0.500116955661,0.499883044339
7.0,0.0,0.0,0.500167232204,0.499832767796
8.0,1.0,1.0,0.49987801349,0.50012198651
9.0,0.0,0.0,0.500420709818,0.499579290182
10.0,0.0,0.0,0.500231108496,0.499768891504
11.0,0.0,0.0,0.500302714834,0.499697285166
12.0,0.0,0.0,0.500199006797,0.499800993203
13.0,0.0,0.0,0.500088586914,0.499911413086
14.0,0.0,0.0,0.500153713206,0.499846286794
15.0,1.0,1.0,0.499790404206,0.500209595794
16.0,1.0,1.0,0.499797054113,0.500202945887
17.0,1.0,0.0,0.506265030095,0.493734969905
18.0,1.0,1.0,0.49980106833,0.50019893167
19.0,0.0,0.0,0.500358103982,0.499641896018
20.0,0.0,0.0,0.500152128417,0.499847871583
21.0,0.0,0.0,0.500241346278,0.499758653722
22.0,0.0,0.0,0.500340008633,0.499659991367
23.0,0.0,0.0,0.500278162426,0.499721837574
24.0,0.0,0.0,0.500386024934,0.499613975066
25.0,1.0,0.0,0.50003530662,0.49996469338
26.0,0.0,0.0,0.500239586058,0.499760413942
27.0,0.0,0.0,0.500158908313,0.499841091687
28.0,0.0,0.0,0.500410460001,0.499589539999
29.0,1.0,1.0,0.499898487612,0.500101512388
30.0,0.0,0.0,0.50030648096,0.49969351904
31.0,1.0,0.0,0.500110985109,0.499889014891
32.0,0.0,0.0,0.500104618351,0.499895381649
33.0,0.0,0.0,0.50022993293,0.49977006707
34.0,1.0,1.0,0.499868951884,0.500131048116
35.0,0.0,0.0,0.500192512769,0.499807487231
36.0,0.0,0.0,0.500100678909,0.499899321091
37.0,0.0,0.0,0.500184769354,0.499815230646
38.0,1.0,1.0,0.499892923307,0.500107076693
39.0,0.0,0.0,0.500384356118,0.499615643882
40.0,0.0,0.0,0.500050050013,0.499949949987
41.0,0.0,0.0,0.500144313989,0.499855686011
42.0,1.0,1.0,0.499961871375,0.500038128625
43.0,0.0,0.0,0.500242302914,0.499757697086
44.0,1.0,1.0,0.499926757524,0.500073242476
45.0,0.0,0.0,0.500052204743,0.499947795257
46.0,0.0,1.0,0.499946878029,0.500053121971
47.0,0.0,0.0,0.500192361738,0.499807638262
48.0,0.0,0.0,0.500193343944,0.499806656056
49.0,0.0,0.0,0.500188637438,0.499811362562
50.0,0.0,0.0,0.500230811084,0.499769188916
51.0,1.0,1.0,0.499944465602,0.500055534398
52.0,0.0,0.0,0.500292256202,0.499707743798
53.0,0.0,1.0,0.499981688834,0.500018311166
54.0,1.0,1.0,0.499635646015,0.500364353985
55.0,0.0,0.0,0.500266802305,0.499733197695
56.0,0.0,0.0,0.500018421201,0.499981578799
57.0,0.0,0.0,0.50041573816,0.49958426184
58.0,1.0,1.0,0.499770037239,0.500229962761
59.0,0.0,0.0,0.500415159717,0.499584840283
60.0,0.0,0.0,0.500231901727,0.499768098273
61.0,0.0,0.0,0.500517964885,0.499482035115
62.0,1.0,1.0,0.499890366983,0.500109633017
63.0,0.0,0.0,0.500193831259,0.499806168741
64.0,1.0,1.0,0.499882548435,0.500117451565
65.0,0.0,0.0,0.500126114937,0.499873885063
66.0,0.0,0.0,0.500309962103,0.499690037897
67.0,1.0,1.0,0.499671306327,0.500328693673
68.0,1.0,1.0,0.499780889401,0.500219110599
69.0,1.0,0.0,0.500074207873,0.499925792127
70.0,1.0,1.0,0.499946081211,0.500053918789
71.0,0.0,0.0,0.50036923996,0.49963076004
72.0,1.0,1.0,0.499798756169,0.500201243831
73.0,0.0,0.0,0.500172101363,0.499827898637
74.0,0.0,0.0,0.500172910135,0.499827089865
75.0,1.0,1.0,0.499654423614,0.500345576386
76.0,1.0,1.0,0.499814878908,0.500185121092
77.0,0.0,0.0,0.500194094125,0.499805905875
78.0,0.0,0.0,0.500109951806,0.499890048194
79.0,1.0,0.0,0.503923382243,0.496076617757
80.0,0.0,0.0,0.500265324289,0.499734675711
81.0,0.0,0.0,0.500185085364,0.499814914636
82.0,1.0,1.0,0.499618657735,0.500381342265
83.0,1.0,0.0,0.500079636036,0.499920363964
84.0,0.0,0.0,0.500261964517,0.499738035483
85.0,0.0,0.0,0.500471052564,0.499528947436
86.0,1.0,1.0,0.499812228525,0.500187771475
87.0,1.0,1.0,0.499776568095,0.500223431905
88.0,1.0,1.0,0.499588005207,0.500411994793
89.0,0.0,1.0,0.499996133819,0.500003866181
90.0,0.0,0.0,0.500100697649,0.499899302351
91.0,0.0,0.0,0.500283420769,0.499716579231
92.0,1.0,0.0,0.500000443138,0.499999556862
93.0,0.0,0.0,0.500257132076,0.499742867924
94.0,0.0,0.0,0.500157836688,0.499842163312
95.0,0.0,0.0,0.500260850983,0.499739149017
96.0,0.0,0.0,0.500133889687,0.499866110313
97.0,1.0,1.0,0.499742829573,0.500257170427
98.0,1.0,1.0,0.499768865473,0.500231134527
99.0,0.0,0.0,0.500196997462,0.499803002538
